,band,cl_01_mean,cl_02_mean,date
0,VH,0.029353248741666657,0.033279122215,20170420
1,VH,0.03045432115333334,0.03505743924000001,20180403
2,VH,0.03953115562333335,0.043027637072500007,20170402
3,VH,0.03139993475833334,0.0329639451,20180202
4,VH,0.03565755903,0.04219723767999999,20170526
5,VH,0.037746243986666664,0.0429364087,20180702
6,VH,0.035595899806666685,0.03966384282999999,20170725
7,VH,0.03321859762833333,0.0398839859725,20170701
8,VH,0.03934670300333335,0.0420854275625,20180620
9,VH,0.032794653725000004,0.03718059693749999,20170502
10,VH,0.02929288541,0.031704056632500005,20171110
11,VH,0.03724437268166667,0.03905695656000001,20170408
12,VH,0.04341788357,0.0479784393725,20180109
13,VH,0.039920099748333326,0.0433599268425,20170213
14,VH,0.03603561862500001,0.0412076403175,20180310
15,VH,0.034274917885,0.039370756140000004,20171104
16,VH,0.024974001348333337,0.026247111957499996,20180226
17,VH,0.040472379640000014,0.04779829098749999,20170613
18,VH,0.03131615846166666,0.03440178446000001,20170108
19,VH,0.037479465778333325,0.0448496972675,20170619
20,VH,0.03465986558166668,0.036928808050000005,20180328
21,VH,0.03369971045666667,0.038646463312500004,20180415
22,VH,0.03562607089,0.043780513320000006,20180608
23,VH,0.04008276593666667,0.043948594287500004,20180726
24,VH,0.031333170883333344,0.03491966511750001,20180427
25,VH,0.028170325053333323,0.0318962105775,20171204
26,VH,0.03749205963833333,0.03820344534,20170414
27,VH,0.040053271226666694,0.0454879890225,20180515
28,VH,0.031820291368333344,0.03538586558,20180115
29,VH,0.02611580195666667,0.03140800483500001,20171128
30,VH,0.04255978165499999,0.04853596962500002,20180409
31,VH,0.03253517690833334,0.036263333215000006,20180103
32,VH,0.033256815319999994,0.036578327980000006,20171023
33,VH,0.04383655451333332,0.04210350242000001,20170126
34,VH,0.033573175435000005,0.0417982791525,20180602
35,VH,0.03531056039166667,0.04131000928999999,20170905
36,VH,0.03573070502999999,0.044157386135,20170830
37,VH,0.03928400206166667,0.04578465499000001,20170625
38,VH,0.03261056349000001,0.035685367607500004,20170207
39,VH,0.03224454466,0.03494725956,20171029
40,VH,0.026954518453333333,0.027322911214999995,20170120
41,VH,0.029322204935000002,0.033236129485,20171116
42,VH,0.035111765,0.038664233105,20170917
43,VH,0.03672592371666666,0.0401495804675,20180626
44,VH,0.03560439468,0.0383604343275,20180720
45,VH,0.03672934834833333,0.037913499655,20170321
46,VH,0.031071859046666674,0.03645729599499999,20170102
47,VH,0.03316433637166667,0.03776729483249999,20170607
48,VH,0.028516639548333337,0.0304328585025,20180322
49,VH,0.03641759796833333,0.0379475959425,20170309
50,VH,0.03165198658666666,0.0345846356725,20180121
51,VH,0.032959012305000014,0.036921211152500015,20171017
52,VH,0.03544828331666667,0.04011733631,20170327
53,VH,0.03208572375,0.039399108955000005,20180509
54,VH,0.03990015469666666,0.04300708756999999,20180714
55,VH,0.031020539291666663,0.03358137775000001,20170114
56,VH,0.03333661738333334,0.03835049864750001,20170508
57,VH,0.03232460234166667,0.0362980960675,20170225
58,VH,0.04590812528999999,0.04945029160250001,20170201
59,VH,0.03189654939000001,0.039472260395,20170520
60,VH,0.03789772923,0.04363654841249999,20170713
61,VH,0.03682540817333334,0.039820911300000005,20180421
62,VH,0.035239161590000005,0.0384134271275,20170315
63,VH,0.029156123488333335,0.03403771999,20180304
64,VH,0.03276726643166667,0.042324728532499994,20180614
65,VH,0.039251629306666674,0.0438308772825,20170719
66,VH,0.032956650958333354,0.036960972767499996,20171011
67,VH,0.03337837352166668,0.039722768694999994,20170923
68,VH,0.026029018715,0.029780405254999996,20180214
69,VH,0.03766990626166668,0.04439581111,20170824
70,VH,0.03608428146333334,0.03973348522749999,20170812
71,VH,0.03334181743666668,0.03517581302000001,20180220
72,VH,,,20170303
73,VH,0.0328506926,0.033980495445000015,20171222
74,VH,0.03721562668,0.04564095009750001,20170818
75,VH,0.03419655952999999,0.03736632938000001,20180503
76,VH,0.035917769083333335,0.04533456411250001,20170601
77,VH,0.029523685586666674,0.033434977855000006,20180208
78,VH,0.03543673477166667,0.04175367494250001,20180527
79,VH,0.027658102145,0.03473895587750001,20171122
80,VH,0.037530174968333316,0.0431466324175,20170514
81,VH,0.03801872286000001,0.04159956831250001,20180521
82,VH,0.03341431125000001,0.03861699532,20170929
83,VH,0.038202783526666666,0.04230528287,20170731
84,VH,0.027089330628333342,0.03204966162250001,20171210
85,VH,0.040315117325000004,0.0495594222925,20170426
86,VH,0.02900437308000001,0.034215969557499996,20171228
87,VH,0.027884663105,0.03224607058250001,20171216
88,VH,0.03831862602500001,0.044327514897499996,20170806
89,VH,0.03393821338166667,0.03897085429,20170911
90,VH,0.03301276612166666,0.038578234315,20171005
91,VH,,,20170219
92,VH,0.03651965786833333,0.04500248862,20180127
